State,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
Connecticut,1187,1372,1090,1066,976,881,1023,1286,1347,1037,888,883,1069,1230,1098,1013,853,845,979,1363,1372,1107,846,932,1119,1262,1213,1094,999,825,1012,1462,1243,1055,818,923,1230,1365,1271,1152,947,861,901,1225,1122,1047,801,925,1159,1296,1334,1174,991,803,943,1204,1274,1180,847,836,1010,1190,1105,1012,900,789,1009,1241,1447,1200,821,866,1097,1225,1037,1019,951,798,985,1270,1169,932,840,916,1239,1417,965,1026,916,836,973,1462,1402,1049,844,992,1182
Maine,431,441,372,387,333,321,364,389,387,327,321,335,403,431,370,369,305,320,400,402,410,330,360,353,431,461,395,393,337,323,406,424,388,333,360,374,468,511,419,436,357,331,315,410,386,342,335,373,445,480,453,426,390,316,332,376,403,388,344,323,431,435,409,419,359,334,333,373,431,391,328,329,445,478,391,442,370,341,360,378,375,372,324,387,422,471,413,426,375,329,341,367,407,386,336,388,401
Massachusetts,1921,2009,1848,1690,1547,1363,1615,2115,1982,1686,1439,1458,1721,1906,1650,1577,1366,1395,1621,2145,2190,1732,1427,1524,1781,1971,1790,1753,1481,1356,1652,2302,1930,1694,1408,1501,1889,2104,1888,1802,1446,1361,1490,1975,1774,1696,1360,1463,1711,2003,1960,1798,1454,1324,1514,1898,2043,1844,1401,1353,1584,1788,1665,1524,1365,1296,1496,1993,2264,1877,1378,1350,1696,1780,1551,1638,1370,1343,1604,1991,1921,1543,1374,1413,1810,2125,1627,1547,1403,1331,1515,2070,2225,1828,1424,1507,1652
New Hampshire,391,448,422,382,355,301,337,402,420,378,325,324,361,434,392,366,324,300,324,418,452,384,313,335,398,442,434,369,352,310,341,440,425,384,306,331,419,480,453,402,355,315,312,397,400,368,311,328,391,459,439,433,359,304,333,375,426,405,323,309,361,416,394,384,341,295,327,404,454,409,317,317,380,457,378,368,362,300,343,409,403,327,311,341,444,500,371,376,337,303,333,466,454,387,322,353,431
Rhode Island,275,289,251,248,224,206,257,371,306,263,225,230,260,269,240,237,213,217,249,354,362,245,229,233,273,299,243,263,214,216,264,406,290,233,220,231,284,308,246,282,217,211,236,330,273,267,212,227,262,300,279,263,210,212,239,320,342,277,227,216,251,281,237,234,210,204,244,349,369,274,219,214,247,265,231,250,209,211,249,320,312,260,203,224,294,274,234,233,217,211,233,361,378,280,221,232,251
Vermont,211,222,192,189,160,157,161,191,183,161,148,157,203,212,184,171,144,163,157,186,193,144,161,174,207,220,193,187,158,146,153,198,182,155,155,172,206,230,201,199,159,148,156,180,170,156,149,170,203,228,204,204,158,143,146,178,183,163,150,155,178,211,185,176,152,141,153,184,187,164,147,159,197,210,173,182,153,142,154,173,172,153,145,160,205,240,183,173,159,143,147,191,193,166,152,174,200
New Jersey,2446,2956,2174,2104,1812,2016,2689,3853,3360,2682,1880,1720,2152,2489,2056,1878,1736,1976,2701,3819,3588,2408,1846,2038,2128,2488,2130,2134,1749,1976,2683,3904,2989,2260,1875,1988,2368,2669,2242,2284,1805,1724,2556,3392,2884,2321,1793,1987,2237,2732,2266,2297,1728,2108,2678,3495,3419,2702,1817,1789,2112,2398,2131,1914,1692,1967,2624,3779,3877,2723,1883,1816,2287,2348,1912,2123,1677,1876,2699,3515,3070,2420,1905,1847,2368,2581,2010,2131,1806,1988,2660,3684,3819,2741,1973,1918,2273
New York,4417,4717,4301,4038,3676,3557,4138,5387,5407,4600,3744,3621,4054,4397,4046,3792,3394,3548,4135,5485,5652,4764,3600,3666,4211,4466,4230,4036,3682,3531,4155,5550,5212,4464,3574,3469,4407,4871,4550,4301,3669,3458,3914,4902,4682,4332,3515,3598,4183,4660,4496,4427,3690,3444,4010,4864,5337,4950,3776,3380,3979,4342,4084,3872,3379,3323,4083,5379,5908,5109,3717,3513,4122,4451,3881,3953,3452,3304,4050,5210,5038,4214,3705,3603,4222,4839,4097,3932,3572,3464,4026,5407,5631,5137,3913,3711,4314
Pennsylvania,5362,6157,5288,4681,3896,3603,4235,5399,5264,4224,3620,3735,4694,5434,4853,4154,3512,3485,4158,5392,5144,4383,3571,3915,4874,5515,5302,4923,4094,3493,4142,5220,4713,4069,3584,3979,5219,6195,5663,5316,4107,3559,3912,4674,4403,3971,3427,3924,5044,5914,5871,5409,3902,3556,4164,4786,4951,4497,3526,3523,4319,5304,5149,4333,3646,3382,4122,5224,5693,4829,3538,3686,4972,5467,4516,4599,3647,3337,3972,5032,4749,3903,3641,3738,5124,6325,4824,4705,4163,3630,4070,5176,5188,4855,3797,4057,5114
Illinois,4383,4684,3976,3502,3013,3108,4056,5911,5168,3690,2931,3155,3864,4152,3631,3219,2722,3206,4531,6330,5149,3825,3022,3243,3872,4276,3790,3763,3177,3164,3820,4905,4703,3711,3119,3493,4451,4791,4315,3869,2939,3153,4096,4228,4691,3306,2951,3623,4047,4408,4071,3716,2763,3005,3772,4740,4656,3790,2857,3145,3721,4209,3617,3181,2814,3004,4456,5272,5405,3945,2971,2983,4132,4149,3187,3238,2672,2878,4212,5085,4218,3803,2913,3316,4047,4522,3639,3408,3046,3466,4437,5232,5215,3941,3138,3439,3884
Indiana,3528,3814,3080,2698,2007,2273,2862,3971,3476,2404,2060,2288,2979,3307,2788,2340,1883,2435,2984,4049,3289,2408,2105,2465,2911,3422,2983,3016,2185,2187,2617,3212,3108,2579,2220,2445,3432,4047,3524,2983,2087,2167,2771,2905,2919,2478,2088,2584,3151,3645,3357,3008,1939,2158,2628,3177,3121,2606,2042,2096,2663,3348,3021,2384,2028,2098,2844,3431,3613,2804,2111,2147,3197,3227,2407,2482,1978,2113,2750,3328,3020,2498,2168,2348,3234,3666,2874,2604,2262,2393,2925,3384,3287,2788,2316,2528,3045
Michigan,3200,3361,2809,2938,2455,2379,2933,4008,3663,2355,2172,2528,3208,3343,2654,2609,2190,2541,3088,4367,3308,2447,2242,2587,3085,3350,2731,2927,2408,2476,2609,3662,3120,2492,2362,2606,3269,3545,2905,3050,2356,2336,2839,2928,3061,2490,2304,2591,3109,3428,2861,2882,2266,2380,2546,3345,3235,2851,2221,2438,2904,3195,2692,2582,2308,2391,2965,3781,3914,2828,2373,2384,3129,3212,2496,2687,2206,2331,2904,3482,3037,2534,2422,2516,3150,3383,2623,2689,2468,2526,2978,3945,3591,2774,2347,2625,3022
Ohio,5511,6061,4724,4265,3427,3666,4421,5971,5512,3898,3202,3648,4892,5327,4376,3785,3107,3694,4570,6000,5472,3721,3320,3990,4925,5113,4586,4798,3556,3568,4103,5117,4696,3918,3471,4032,5201,6060,5375,4835,3399,3439,4251,4632,4585,3808,3314,4095,5012,5607,5411,4674,3272,3536,4196,4894,4897,4148,3208,3467,4183,5232,4611,3863,3350,3374,4367,5601,5917,4485,3244,3471,5009,5001,3878,4118,3233,3305,4225,5212,4708,3779,3381,3804,5150,5808,4391,4255,3731,3772,4573,5468,5242,4542,3773,4121,4788
Wisconsin,2211,2229,1871,1818,1646,1552,1701,2429,2118,1533,1511,1693,2048,2091,1816,1695,1481,1571,1994,2618,1951,1578,1521,1692,2019,2196,1893,1855,1647,1551,1694,2112,1976,1643,1528,1779,2220,2394,2044,1935,1622,1518,1707,1794,1983,1541,1517,1785,2087,2180,1917,1754,1495,1486,1571,2048,1963,1772,1453,1627,1949,2174,1790,1660,1521,1495,1786,2285,2224,1631,1495,1607,2147,2147,1704,1733,1502,1488,1772,2110,1784,1690,1444,1765,2095,2224,1838,1777,1633,1651,1825,2273,2162,1666,1538,1826,1994
