DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
5/31/2019,10,559.24,609.8,533.1,338,N
5/31/2019,11,530.03,763.1,763.4,460.7,N
5/31/2019,12,680.87,920.1,798.5,486.5,N
5/31/2019,13,972.18,982.1,836.6,524.4,N
5/31/2019,14,1025.69,1102.7,1069.9,811.6,N
5/31/2019,15,1042.83,1067.2,1074.4,846.8,N
5/31/2019,16,1086.88,1056.8,1017.4,710.8,N
5/31/2019,17,962.74,1078.7,1022.1,742.4,N
5/31/2019,18,697.67,900.1,782.4,505.7,N
5/31/2019,19,375.87,682.5,576.7,397.3,N
5/31/2019,20,121.08,245.5,185.5,124.1,N
5/31/2019,21,12.2,29.2,20.6,10.6,N
5/31/2019,22,0,0,0,0,N
5/31/2019,23,0,0,0,0,N
5/31/2019,24,0,0,0,0,N
6/1/2019,1,0,0,0,0,N
6/1/2019,2,0,0,0,0,N
6/1/2019,3,0,0,0,0,N
6/1/2019,4,0,0,0,0,N
6/1/2019,5,0,0,0,0,N
6/1/2019,6,0,0,0,0,N
6/1/2019,7,0.38,0.2,0.4,0.1,N
6/1/2019,8,167.27,108.6,116.1,86.3,N
6/1/2019,9,842.96,509.5,657.4,514.1,N
6/1/2019,10,1005.39,861.3,1188.2,951.8,N
6/1/2019,11,1070.57,1096.4,1251.1,917.3,N
6/1/2019,12,1277.15,1247.2,1222.5,918.6,N
6/1/2019,13,1501.21,1315.5,1311.7,1036.5,N
6/1/2019,14,1480.55,1337,1410.6,1210.6,N
6/1/2019,15,1468.37,1362.8,1462.3,1241.3,N
6/1/2019,16,1450.33,1364.5,1384.5,1120.4,N
6/1/2019,17,1359.97,1261,1282.1,957.6,N
6/1/2019,18,1184.83,1049.5,1111.6,762.4,N
6/1/2019,19,407.33,875.4,962.8,732,N
6/1/2019,20,186.67,357.9,300.4,221.7,N
6/1/2019,21,33.97,40.9,19.4,8.4,N
6/1/2019,22,0,0,0,0,N
6/1/2019,23,0,0,0,0,N
6/1/2019,24,0,0,0,0,N
6/2/2019,1,0,0,0,0,N
6/2/2019,2,0,0,0,0,N
6/2/2019,3,0,0,0,0,N
6/2/2019,4,0,0,0,0,N
