state_1,price_1,load_1,month_1,year_1,coal_cost_1,CDD_1,HDD_1,date_1,state_2,price_2,load_2,month_2,year_2,coal_cost_2,CDD_2,HDD_2,date_2,ln_load_rel,ln_price_rel,ln_coal_rel,time_diff
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16853700374067412,448.0,1,2011,51.08810217620435,0.0,1458.0,1/2011,-0.13608567242961944,0.011838477926549225,0.17922123118203542,-1.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16815381128031817,422.0,2,2011,43.24396727594947,0.0,260.0,2/2011,-0.07629775405064608,0.014114706494188119,0.3459151284566487,-2.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16860620240953964,382.0,3,2011,29.134084518605178,0.0,58.0,3/2011,0.023286951378790693,0.011427977767715229,0.7408640891040111,-3.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16569022336140607,402.0,7,2011,42.119288823792665,174.0,8.0,7/2011,-0.027744528633655334,0.028873889730095293,0.3722670645585724,-7.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16681041043072395,420.0,8,2011,44.18852417431891,106.0,5.0,8/2011,-0.0715471512920482,0.02213590974723003,0.32430774584875127,-8.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16191892000482142,392.0,2,2012,35.849170316203946,0.0,20.0,2/2012,-0.0025542798050967423,0.051898094232349215,0.5334524435807618,-14.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.1647091806594375,324.0,4,2012,35.705345789152226,0.0,581.0,4/2012,0.18796404419303642,0.03481243303963611,0.5374724475880218,-16.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.15895695659939274,442.0,1,2013,85.78912901113293,0.0,1335.0,1/2013,-0.12260232209233239,0.07036035801907893,-0.33911942980819443,-25.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16445413116702995,352.0,4,2013,72.47870021795126,0.0,647.0,4/2013,0.10507638438726871,0.03636211694598964,-0.17051986144217843,-28.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.16153793501324962,480.0,1,2014,29.814114034830393,0.0,1462.0,1/2014,-0.20507854391657085,0.05425380357563049,0.7177909604402982,-37.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.1682252047095305,368.0,9,2014,28.46068123455594,8.0,94.0,9/2014,0.06062462181643484,0.013690224425505906,0.7642493382191804,-45.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.17630800562478788,328.0,11,2014,30.480531445473503,0.0,904.0,11/2014,0.1756939516012221,-0.03323868709695146,0.6956847006149044,-47.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.17984318373930028,391.0,12,2014,42.682393634075964,0.0,89.0,12/2014,0.0,-0.05309145934683291,0.3589863590228841,-48.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.17736192282385724,394.0,2,2016,48.61245500638619,0.0,68.0,2/2016,-0.007643349312568012,-0.03919859623217699,0.22889309323149237,-62.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.18130697952473473,444.0,12,2017,96.51957853833508,0.0,362.0,12/2017,-0.12711700244685897,-0.061197803744086815,-0.4569730070174322,-84.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.18427609803265277,371.0,2,2018,35.1351853917959,0.0,22.0,2/2018,0.05250549737793068,-0.07744135534224603,0.5535698059701977,-86.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.18474119505622152,376.0,3,2018,41.2136418548462,0.0,32.0,3/2018,0.03911841659547135,-0.07996208961975593,0.3940035526250827,-87.0
new hampshire,0.17054408227585632,391.0,12,2010,61.11594924110475,0.0,250.0,12/2010,new hampshire,0.18356278681685442,337.0,4,2018,41.236731099059014,0.0,770.0,4/2018,0.14862462963300402,-0.07356296108155157,0.39344347644861016,-88.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16233699134064936,222.0,1,2011,42.594085188170375,0.0,1503.0,1/2011,-0.050819248396213004,-0.005017994476836843,0.31399608938818735,-1.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16589223118936985,161.0,6,2011,41.442487975870215,24.0,9.0,6/2011,0.27045376849160346,-0.02668199421635084,0.3414048534987177,-6.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.1646730949184263,191.0,7,2011,41.92603441962651,141.0,4.0,7/2011,0.09958470542943672,-0.01930589211427328,0.3298045071727647,-7.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16724827228918018,201.0,2,2014,36.51896816320147,0.0,334.0,2/2014,0.04855322541699074,-0.034822995235716754,0.46787968636755073,-38.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.1657372836153809,170.0,11,2014,27.503273044658876,0.0,933.0,11/2014,0.21605969642580475,-0.02574753224389676,0.7514064702794835,-47.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16106517770857942,228.0,1,2015,54.274084124830395,0.0,1603.0,1/2015,-0.07748749547837429,0.0028472600589488344,0.0716646467687543,-49.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16414177436687497,197.0,12,2016,29.376242237501547,0.0,246.0,12/2016,0.06865440473807798,-0.016074158615501863,0.685525227169097,-72.0
vermont,0.16152442564485361,211.0,12,2010,58.306378037654476,0.0,349.0,12/2010,vermont,0.16763360481981482,183.0,2,2018,39.914091264085684,0.0,80.0,2/2018,0.1423719806346455,-0.037124300424408556,0.37898206161415554,-86.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.16161365656064647,2956.0,1,2011,46.758426850187035,0.0,1186.0,1/2011,-0.18938296582097475,0.03476034507272833,0.16946113317183548,-1.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.16334474606668298,2689.0,6,2011,41.70742642862965,195.0,5.0,6/2011,-0.09471534002174696,0.024106022135782192,0.2837764213808095,-6.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.16630050042719396,3853.0,7,2011,42.4345986411164,398.0,0.0,7/2011,-0.45439802837903986,0.006172600631208492,0.2664915909697764,-7.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.16159262448710807,1880.0,10,2011,40.079023352413756,5.0,302.0,10/2011,0.2631822604231228,0.03489049151357048,0.32360253711779,-10.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.15901821791311146,1878.0,3,2012,34.92184445090588,2.0,485.0,3/2012,0.26424665647890944,0.05095022228238079,0.46134307723905016,-15.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.15930231393870214,1736.0,4,2012,32.401149459813965,0.0,384.0,4/2012,0.34287042102682214,0.04916525353174369,0.5362617268190253,-16.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.15181282371852114,2488.0,1,2013,72.60225040185746,0.0,980.0,1/2013,-0.017025137611952394,0.09732065689132431,-0.2705402924783472,-25.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.15086654341614844,2130.0,2,2013,68.03824061532985,0.0,916.0,2/2013,0.13833205754364694,0.1035733684279026,-0.20561428295724357,-26.0
new jersey,0.16733018163722319,2446.0,12,2010,55.393132620054736,0.0,72.0,12/2010,new jersey,0.1517596396574766,2134.0,3,2013,82.69068950155918,0.0,828.0,3/2013,0.13645588438541892,0.09767104480857614,-0.4006513879476389,-27.0
